text,keywords_formal.0.keywords,keywords_formal.0.is_formal,keywords_formal.0.annotator
#ایران - سالمرگ #خمینی دجال ضدبشر منفورترین #دیکتاتور #تاریخ معاصر بر همگان #مبارک pic.twitter.com/ihJlt9dBOX,"[""ایران"",""خمینی"",""دیکتاتور"",""تاریخ معاصر""]",true,annotator1
آنلاین جعل #تاریخ معاصر سیاسی #ایران اینجا: https:// t.me/shoorijezehmoh ammad … pic.twitter.com/YhoWcgblyO,"[""تاریخ معاصر سیاسی"",""ایران""]",true,annotator1
آیا #آگاهی هیجانی به عنوان یک کنش نتیجه ای به جز واکنش هیجانی دارد؟ #تاریخ #معاصر ما لبریز از این تجربه است. #پرسشگری #انتخابات #مناظره,"[""آگاهی هیجانی"",""واکنش هیجانی"",""تاریخ معاصر""]",true,annotator1
این کتاب رو بخونید. #تاریخ معاصر _از_منظری_دیگر #مصطفی_شعاعیان http://www. iran-archive.com/start/2,"[""تاریخ معاصر"",""کتاب""]",true,annotator1
بيست سال بعد كلاس #تاريخ معاصر معلم:اولين دولت ٤ ساله جمهوري اسلامي #ايران متعلق به كدام جريان است؟ دانش آموز: جريان #اصلاحات آقاي #روحاني,"[""جمهوري اسلامي ايران"",""تاريخ معاصر""]",true,annotator1
از همه بعلاوه خودم خواهش ميكنم يكم #كتاب بخونيم،در حال حاضر #تاريخ معاصر,"[""كتاب"",""تاريخ معاصر""]",false,annotator1
با پديده اي رو به رو هستيم كه مستقيم به مردم نگاه ميكند و دروغ ميگويد! #تاريخ تكرار ميشودِ معاصر ،قسمت دوم! #قاليباف #رئيسي,"[""دروغ"",""تاريخ""]",true,annotator2
لپ تابم خراب شد. نه از فیلم خبری هست نه از سریال. تا خود صبح رو با #کتاب ، #موسیقی و ریختن همه اتفاقای بد مملکت از ذهنم میگذرونم.,"[""اتفاقای بد مملکت"",""موسیقی"",""کتاب"",""لپ تابم ""]",false,annotator1
#کتاب ی که اطلاعات تازه ای بده خوبه اما کتابی که پراز ایده ست خوانی از خوان های بهشتی است.درحال مطالعه دو کتاب از نوع دوم هستم. ۱: درس هایی از تاریخ نوشته آرینت و ویل دورانت و ۲: با چراغ و آیینه(در جست و جوی ریشه های تحول در شعر معاصر فارسی) نوشته شفیعی کدکنی #تاریخ #شعر #ادبیات,"[""اطلاعات تازه"",""درس هایی از تاریخ"",""کتاب"",""آرینت و ویل دورانت""]",false,annotator1
دکتر خلیل ثقفی (اعلم‌الدوله) هنگام کتابت فرمان مشروطه. اعلم الدوله، پزشک، نویسنده و مترجم معاصر و از نخستین دانش آموختگان رشته پزشکی جدید در ایران بود. حضور ثقفی در دربار مظفرالدین شاه مقارن شدت گرفتن مخالفت مردم با خودکامگی حکومت قاجار و پیدایی انقلاب مشروطه بود. #تاريخ #ایران pic.twitter.com/EEDL64aQbx,"[""فرمان مشروطه"",""دانش آموختگان رشته پزشکی"",""مخالفت مردم"","""",""انقلاب مشروطه"",""حکومت قاجار""]",true,annotator1
ملا فیض محمد کاتب هزاره. تاریخ نگار مشهور افغانستان. مشهور به بیهقی معاصر . کتاب معروف اش سراج التواریخ #تاریخ اگر کاتب هزاره نمی بود، امروز اکثریت جنایت عبدالرحمان خونخوار و ناموسفروش، وطنفروش پنهان می ماند. روح این بزرگ مرد هزاره آرام باد. و یادش جاویدان pic.twitter.com/trPFlLWEaw,"[""اریخ نگار مشهور افغانستان"",""بیهقی معاصر"",""کاتب هزاره"",""جنایت عبدالرحمان خونخوار و ناموسفروش""]",true,annotator1
لباس پوشوندن دهقان فداکار رو میشه از دیدگاه طنز دید و به کوته‌فکری برخی خندید. شاید حتی بشه اصلاحش کرد. اما از نگاه دیگه، میشه گفت این‌هایی که از تحریف یه داستان واقعی معاصر به این شکل هیچ ابایی ندارن، فکر میکنید چه بلایی سر تاریخ دور آوردن و خواهند آورد؟ #تحریف #تاریخ pic.twitter.com/2CTmOuK8rh,"[""دهقان فداکار"",""دیدگاه طنز"",""کوته‌فکری""]",false,annotator1
کتاب تاریخ معاصر صد سال دیگه چیزی جز کتاب جک نیست... #تاریخ,"[""کتاب تاریخ معاصر"",""کتاب جک""]",true,annotator1
تمام #تاريخ معاصر #ایران در این یک جمله خلاصه شده: «سخت است فهماندن چیزی به کسی که بابت نفهمیدنش #پول می‌گیرد.»,"[""تاريخ معاصر ایران"",""فهماندن چیزی به کسی""]",true,annotator1
همه ی هموطنان رو دعوت می کنم یک بار دیگر یا برای اولین بار #تاریخ #معاصر را از زمان قاجار به بعد رو مطالعه کنید قطعا متوجه عوامل جدیدی خواهید شد که موانع اصلی رسیدن به آزادی این ملت بوده است.سعی کنیم تکرارشان نکنیم #آزادی هیچ آلترناتیوی (جایگزین)ندارد. #چالش #تاریخ_ معاصر,"[""قاجار"",""تاریخ معاصر""]",false,annotator1
دو #متقلب دو صاحب اندیشه‌ی #قومی و #قبیله‌ای ، دو #ویران‌گر و نهایتا، دو چهره‌ی منفور #تاریخ معاصر کشور. @ZiaulhaqAmarkhi @ashrafghani pic.twitter.com/kYQtv3CgTw,"[""ویران‌گر"",""متقلب"",""چهره‌ی منفور"",""تاریخ معاصر""]",false,annotator1
چیزی که هیچ گاه نباید فراموش بشه اینه که #امریکا تحت هیچ حالتی، هیچ حالتی قابل اعتماد نیست، #تاریخ معاصر را نگاه کنیم,"[""قابل اعتماد"",""امریکا"",""تاریخ معاصر""]",false,annotator1
رفرماسیون در طول #تاریخ ، خصوصا در قرن معاصر و اگر کوچک تر شویم در 21 سال اخیر تاریخ #ایران ، همواره یک #آلترناتیو به شمار آمده است و توانسته با نقد های تند و بعضا ارائه جایگزین های ایده آلیستی، جریان معارض و رقیب را با چالش مواجه کند.,"[""رفرماسیون"",""تاریخ ایران"",""نقد های تند"",""ایده آلیستی""]",true,annotator1
پیدا کردن این #سکه در میان سکه ها باعث شد بروم #تاریخ #معاصر #عراق را بخوانم #تاریخ_ معاصر _عراق من سکه خرید و فروش نمی کنم پس علاقمندانش تنها اگر حاضرند بهایی گزاف بپردازند تماس بگیرند https:// ift.tt/2QIb1Wg pic.twitter.com/TpQ4FQE9Rw,"[""سکه"",""تاریخ معاصر عراق"",""خرید و فروش""]",true,annotator1
تمام #تاریخ معاصر #ایران در این یک جمله #شاملو خلاصه شده:«سخت است فهماندن چیزی به کسی که بابت نفهمیدنش #پول میگیرد»به تعبیر دیگر وقتی شکم ها پر از #حرام شد،گوش‌ها نمی شنود #محرم #پیام_حسین #درس_محرم #عاشورا #ظلم_ستیزی #براندازم,"[""تاریخ معاصر ایران"",""فهماندن چیزی به کسی""]",true,annotator1
کمتر به این امر در تاریخ معاصر ایران پرداخته شده که در زمان مبارزات ملی دکتر مصدق، اولین جرقه‌های جنگ سرد بین دو ابرقدرت #شوروی و #آمریکا در ایران و در رقابت برای #نفت زده شد. #تاریخ #جنگ_سرد,"[""تاریخ معاصر ایران"",""مبارزات ملی دکتر مصدق"",""جنگ سرد"",""شوروی و آمریکا"",""رقابت برای نفت""]",true,annotator1
با اصطلاحات سینمایی آشنا شوید! #دکوپاژ چیست؟ همان کاری است که #مهدی_هاشمی_رفسنجانی با جنازه پدر می‌کند! #از_اونجا_یه_عکس_از_من_بگير #سينما,"[""اصطلاحات سینمایی"",""دکوپاژ"",""مهدی هاشمی رفسنجانی"",""جنازه پدر""]",true,annotator1
#اکران مردمی #فیلم #آباجان شنبه 9 اردیبهشت ساعت 19 - #سینما قدس #تهران با حضور فاطمه #معتمد_آریا ، شبنم مقدمی و ملیسا ذاکری pic.twitter.com/F2EYCq0lL5,"[""اکران مردمی"",""اردیبهشت""]",true,annotator1
#مهراوه_شریفی_نیا بهترین #بازیگر #زن از #جشنواره #فیلم بریجز در #یونان برای بازی درفیلم #پرسه_درحوالی_من #کارگردان #غزاله_سلطانی @MehraveSh @ecrannews @ghazalesoltani pic.twitter.com/IjxBGVnXwI,"[""بهترین بازیگر زن"",""جشنواره فیلم بریجز""]",true,annotator1
دلیل اینکه #مهران_مديرى به صورت علنی مورد استقبال #خبرگزاری های #سپاه قرار گرفته است چیست؟ #بازیگر #کارگردان,"[""خبرگزاری های سپاه"",""مهران مديرى""]",true,annotator1
مرکز پژوهشهای مجلس گزارش«عوامل مؤثر بر اجرایی شدن سیاستهای #حجاب و راهکارهای پیش رو»رو منتشر کرده و گفته با افزایش تولیدات سینمایی؛بدپوششی در زنان تشدید میشود و تولیدات سینمایی در زمینه حجاب و پوشش«آسیب‌دار»هستند! مرکز مذکور،به رابطه #سینما و شل شدن پوشش زنان در جامعه اشاره کرده!,"[""مرکز پژوهشهای مجلس"",""اجرایی شدن سیاستهای حجاب"","" تولیدات سینمایی"",""بدپوششی"",""حجاب و پوشش"",""شل شدن پوشش زنان"",""جامعه""]",true,annotator3
نه..نظر شما که محترمه اما بنظرم تمام حرکات و تمام حرفهای مسوولان ویترینی از تفکر و سبک زندگی خودشونه....وقتی روی میز کاری مسوول 3نوع میوه هست ولی روی سفره ی تعداد زیادی از مردم حتی نون هم نیست!!..هم غم انگیزه هم نگران کننده :(,"[""مسوولان"",""سبک زندگی""]",false,annotator1
اصلا رژیم به شکلی که این روزا مرسومه خوب نیست، آدم باید همه چی بخوره، به اندازه بخوره و تحرک کافی داشته باشه و از همه مهم‌تر به سبک زندگی هم خیلی مربوطه و باید بجای نخوردن غذا، سبک زندگی و عادات غلط زندگی رو اصلاح کرد,"[""سبک زندگی"",""رژیم"",""عادات غلط زندگی""]",false,annotator1
در این مورد اطلاع حاصل از مطالعه ندارم اما به نظرم منطقی میاد که ایدئولوژی جامعه رو میسازه مثل جامعه ای که در دوره پیامبر شکل گرفت یا جامعه بسیار ناهمگون امریکا از نظر ملیت، نژاد و ... که لیبرالیسم و سبک زندگی آمریکایی اونها رو یک جامعه کرده,"[""دوره پیامبر"",""سبک زندگی آمریکایی"",""ایدئولوژی جامعه""]",false,annotator1
2018/11/27 در سریال‌ها به مسائل ملی بپردازید؛ از شهدای عزیز، دفاع مقدس، انقلاب، سبک زندگی اسلامی، انگیزه‌های ایمانی ملت و مظاهر آن، ایستادگی‌شان در برابر ابرجنایت‌کاران و مفسدان عالم، راهپیمایی اربعین و... بگویید. پرداخت درست و هنرمندانه این موضوعات بسی جذاب و پرمخاطب است.,"[""مسائل ملی"","" سبک زندگی اسلامی"","" انگیزه‌های ایمانی ملت"","" شهدای عزیز"","" راهپیمایی اربعین"","" جنایت‌کاران و مفسدان"",""سریال‌ها""]",true,annotator1
الان کلا سبک زندگی ها تغییر کرده نمیشه با اون زمان تطبیق داد,"[""سبک زندگی""]",false,annotator1
کیرم تو تمام خانواده‌های ایرانی کیرم تو سبک زندگی ایرانی کیرم تو اختلاف نسل ها,[],false,annotator1
اينطور نبودن قطعا مثل ما ايرانيا نبودن ولي سالي يكبار اينطوري نبودن هر نسل داره بدتر ميشه اُمانيسم و فردگرايي شده روش و فرهنگ و سبك زندگي غربي اينم يه پيامد كوچك ولي واقعا ناراحت كنندشه,"[""اُمانيسم و فردگرايي"",""فرهنگ و سبك زندگي غربي""]",false,annotator1
امام علي (ع) در زمان خلافت خود بسيار ساده زيست بود... شايد #زندگي_ساده_رهبر_انقلاب الگو برداري از سبك زندگي اهل بيت است.,"[""زندگي ساده رهبر انقلاب"",""سبك زندگي اهل بيت"",""امام علي""]",true,annotator1
#براندازی مفهومی فراتر از #انقلاب سیاسی و تغییر #نظام سیاسی است. #براندازی شامل تحول در تمام ساختارها و گرایشها.فرهنگ و باورهای غلط اجتماعی و سیاسی است. در کل تغییر سبک زندگی در بطن جامعه است که در پی آن نظام سیاسی نیز مجبور به استحاله میشود.,"[""انقلاب سیاسی"",""براندازی"",""فرهنگ و باورهای غلط اجتماعی و سیاسی"","" سبک زندگی"",""نظام سیاسی""]",true,annotator1
چرا برخی از آقایون از این اینکه سبک زندگی شخصی رهبر معظم انقلاب رسانه ای بشه واهمه دارند ؟؟ و خیلی از مسئولین در مورد شناخت مردم نسبت به ابعاد مختلف زندگی ایشون کاری از پیش نمی برند !!!؟؟ #زندگی_ساده_رهبر_انقلاب,"[""سبک زندگی شخصی رهبر معظم انقلاب"",""شناخت مردم"",""ابعاد مختلف زندگی""]",false,annotator1
فکر کنم این عکس به صورت کامل گویای سبک زندگی عالی رتبه ترین مسئول این نظام باشه. امید است که بقیه مسئولین یاد بگیرند. #زندگی_ساده_رهبر_انقلاب pic.twitter.com/lhK5Y4E7Gt,"[""عالی رتبه ترین مسئول این نظام"",""سبک زندگی""]",true,annotator1
ممد یه سبک زندگی نیست یه فحشه!!,"[""سبک زندگی"",""فحشه""]",false,annotator1
#مقایسه_کنید #آقا فرمودند: اگر شما بخواهيد زندگي مرا نشان بدهيد مي‌ترسم خيلي‌ها باور نكنند #زندگی_ساده_رهبر_انقلاب #سبک_زندگی pic.twitter.com/5ygrprAcaa,"[""رهبر انقلاب"",""زندگي""]",true,annotator1
این سبک زندگی اشرافی ، نتیجه عدم پاسخگویی قضیه اتوبوس دانشگاه آزاده ... #زندگی_ساده_رهبر_انقلاب pic.twitter.com/9i9075M8T9,"[""سبک زندگی اشرافی"",""اتوبوس دانشگاه آزاده""]",false,annotator1
اونی که سر نهار گفتم که رژیم لاغری نبود؛ سبک زندگی جاری بود :)),"[""رژیم لاغری"",""نهار"",""سبک زندگی""]",true,annotator1
به نظرم خیلی جسارت میخواد کل زندگیتو بیاری وسط اینستا و فضای مجازی... تا حدی که رنگ مسواکتو دو میلیون نفر بدونن... ازین جهت اجمعین بلاگر ها شاخ های مجازی برام قابل تحسینن... حالا اینکه این سبک زندگی پسند من نیست و سرمم بزنن حاضر نیستم همچین کاری کنم یک بحث دیگس...,"[""فضای مجازی"",""اینستا""]",false,annotator1
نمی فهمم چطور در منشنها ازدواج در سنین پایین رو با دوست پسر داشتن مقایسه می کنن؟ من ۳۰ ساله شمای ۳۰ سال به بالا از نوجوونی تا الان چند نفر رو دوست داشتید که بزرگتر شدید و پشیمون؟ چقدر شخصیت در این مدت تغییر می کنه؟ دیدگاه ها خواسته ها سبک زندگی ؟,"[""ازدواج در سنین پایین"",""دوست پسر""]",false,annotator1
استاد راهنمایی کنید سبک زندگی ما هم درست بشه مخصوصا زیاد خوابیدن که گرفتاری شده !,"[""استاد"","""",""سبک زندگی""]",false,annotator1
2) در نتیجه هیچوقت این سبک زندگی واقعا به یک سبک نرمال تبدیل نمیشه و این استرس کمابیش در جوامع باقی میمونه در بعضی جوامع که استرس روی این نوع زندگی بیشتره طبیعتا پرخاش و اضطراب والدین هومو هم بیشتر میشه,"[""پرخاش و اضطراب والدین"",""سبک زندگی"",""جوامع""]",false,annotator1
بعضی از زن ها در مواجهه با این اختلال از تغییر سبک زندگی ، کاهش استرس و افزایش ورزش استفاده میکنند اما برخی دیگر نیاز جدی به گرفتن کمک حرفه ای و دارودرمانی دارند. به طور کل شدت و حدت علایم حائز اهمیت است و تعیین کننده ی کمک مناسب. در اختلال ملال پیش از قاعدگی شاید تغییر سبک,"[""تغییر سبک زندگی"",""افزایش ورزش"",""دارودرمانی"",""قاعدگی"",""زن ها""]",true,annotator1
باور کن دلم نمیاد این همه جوون ساکن اینستا با فیلتر کردنش دربه در بشن....ولی یه نگاه کن اینستا رو زده سبک زندگی رو آسفالت کرده خو :/,"[""جوون ساکن اینستا"",""سبک زندگی"",""فیلتر کردنش""]",false,annotator1
"""دولت باید با کار فرهنگی و طرح شعارهایی مثل """"سیگار نکش، پسته بخور"""" سعی کنه جامعه رو به سمت سبک زندگی سالم ببره""","[""کار فرهنگی"",""سیگار نکش، پسته بخور"",""سبک زندگی""]",false,annotator1
دقيقا همينطوره خيلي تاسف ميخورم وقتي ميبينم و ميشنوم كه خيلي از مردم ماهم دارن بسمت اين فرهنگ و سبك زندگي مزخرف ميرن... چون سياهي و باطنش رو من با چشماي خودم ديدم ولي مردم نديدن و فقط ظاهر خشگل و فريبندشو ميبينن,"[""فرهنگ و سبك زندگي"",""ظاهر خشگل""]",false,annotator1
ربطی به کارمندی و کارافرینی نداره. سبک زندگی این دوره جوریه که گذر زمان خوشحالت میکنه.,"[""کارمندی و کارافرینی"",""سبک زندگی""]",false,annotator1
این متأسفانه خیلی جاریه. توی همه موارد هم میشه دید.... در واقع بازارهای و نوع تبلیغات ما سبک زندگی رو ترویج می‌کنند که حیا رو کمرنگ می‌کنه... از دکوراسیون منزل گرفته تا لباس فروشی‌ها و لوازم آرایشی و صوتی و‌ تصویری‌ها و کافی نت‌ها و حتی لوازم خانگی و لوازم التحریرها و...,"[""سبک زندگی"",""دکوراسیون منزل"",""لباس فروشی‌ها"",""نوع تبلیغات""]",false,annotator1
منکه این سبک زندگی رو دوسش دارم اما اهل خونه نمیزارن,"[""سبک زندگی"",""اهل خونه""]",false,annotator1
هدفشون اینه سبک زندگی اسلامی رو بزنن,"[""سبک زندگی اسلامی""]",false,annotator1
 سبک زندگی زنان مجموعه بیانات آقا درمورد زنان,"[""سبک زندگی زنان"",""بیانات آقا""]",true,annotator1
حالا ازدواج هیچی فرزنداوری بعدش عکسایی که از اتاق دیزاین کرده بیمارستان و نوزاد تا سر وضع کارتونی پدر مادر تا گزارش تصویری جشن دندون دراوردن بچه و قس علی هذا سبک زندگی زیادی متفاوت,"[""فرزنداوری"",""سبک زندگی"",""ازدواج""]",false,annotator1
بامادرش صحبت میکردم میگفت ، هادی بچم از کوچیکی حواسش به همه بود . خیلی دل رحم بود وبه همه کمک میکرد ، الان هم هروقت مشکل پیداکنیم حواسش هست ، میگفت خیلی سربه زیر ومحجوب بود ، وبه من وپدرش خیلی احترام‌ میذاشت . روحش شاد شهید هادی ذوالفقاری #سبک_زندگی_شهدا,"["" شهید هادی ذوالفقاری"","""",""سبک زندگی شهدا""]",false,annotator1
خوشبخت بشید #سبک_زندگی _اسلامی,[],false,annotator1
بخدا اگه من یک درصد پررویی و اعتماد به نفس شمارو داشتم دیگه مشکلاتم حل میشد تو زندگی واقعا رمز این سبک زندگی به تخمم شما چیه؟,"[""پررویی و اعتماد به نفس"",""سبک زندگی""]",false,annotator1
فک کنم کلا در مورد سبک زندگی یاید فکر کنی,"[""سبک زندگی""]",false,annotator1
خوشبختی یک وضعیت روحی نیست یک سبک زندگی است,"[""خوشبختی"",""سبک زندگی""]",true,annotator1
ظاهرا هنوز شهدای ما در حال مبارزه با اونا هستن که نمیتونن تحملشون کنن و با ساختن شایعه و دروغ میخوان اطراف قبور مطهرشون را خالی کنند. با #سبک_زندگی _شهدا نمیذاریم تیرشون به هدف بخوره,"[""شایعه و دروغ"",""قبور مطهرشون"",""سبک زندگی  شهدا""]",false,annotator1
از اون سبک زندگی تهوع آور کثافت کاری لباس زیر همو‌ پوشیدن بعید نیست,"[""سبک زندگی تهوع آور""]",false,annotator1
امیر المومنین علی علیه السلام: اگر کسی به آداب الهی مودب شود، به رستگاری دائم خواهد رسید. بحارالانوار ج۸۹ص۲۱۴ #سبک_زندگی,"[""آداب الهی"",""رستگاری دائم"",""امیر المومنین ""]",true,annotator1
کلام امام زمان(عج) #سبک_زندگی _انسانی pic.twitter.com/1ssYCaGeiO,[],true,annotator1
به نظرم هر کی هر سبک زندگی که دوست داره میتونه داشته باشه,"[""سبک زندگی""]",false,annotator1
عمیقا مایلم درکی از تمام انتخاب ها و رفتارهای آدمها داشته باشم بدون قضاوت کردنشون اما عمیقا اعتقاد دارم بسیاری چیزها به اشتباه سبک زندگی خونده می شه و پایه اش یک ناهنجاریه زیستی، یا یادگیریه و باید به آدمها کمک کرد. https:// twitter.com/hooshmandk/sta tus/1078881727785820160 …,"[""سبک زندگی"",""ناهنجاریه زیستی""]",false,annotator1
به برکت تعالیم گذشتگان، ذهن و زبان ما ایرانیان علوی و فاطمی و حسینی است. این یک فرصت فرهنگی و منحصر به فرد است، اما رفتار ما همسو با ذهنیت و گفتارمان نیست. شکافی عظیم میان این دو وجود دارد. در حوزه عدالت و نظم این شکاف را به شکلی بسیار وسیع میتوان دید. #سبک_زندگی _انسانی,"[""فرصت فرهنگی"",""ایرانیان علوی و فاطمی و حسینی"",""حوزه عدالت و نظم"",""شکافی عظیم""]",true,annotator1
خیلی قائل به این که کدومش درسته نیستم دساسا سبک زندگی یه تجربه شخصی هست مهم اینه که تو لحظه خوشحال باشی و از تک تک لحظات زندگیت لذت کامل رو ببری یه وقتایی تنهایی این لذت رو بهت میده یه وقتایی هم تنوع و یه وقتایی هم آرامش فقط در حضور یه نفر خلاصه میشه جواب مطلقی وجود نداره,"[""سبک زندگی""]",false,annotator1
بايد بسيجيان جهان اسلام در فكر ايجاد حكومت بزرگ اسلامي باشند و اين شدني است ، چرا كه بسيج تنها منحصر به ايران اسلامي نيست ، بايد هسته‌هاي مقاومت را در تمامي جهان به وجود آورد و در مقابل شرق و غرب ايستاد. امام خمینی ره پیام تشکیل بسیج طلبه و دانشجو #روزه_نجات #صیام_الخلاص pic.twitter.com/KtDYrcStJ1,"[""بسيجيان جهان اسلام"",""هسته‌هاي مقاومت"",""حكومت بزرگ اسلامي""]",true,annotator1
فتنه گران قبل ازهرچیزبه دین خداآسیب واردکردند درجهانی که اسلام ازهرسوموردتهاجم است فتنه گران ام القرای جهان اسلام راهدف قراردادند,"[""فتنه گران"",""دین خدا"",""موردتهاجم"",""ام القرای جهان اسلام""]",true,annotator1
از افزایش ۴۰ میلیارد مربوط به فعالیت بسیج اساتید ۱۰ میلیارد مرکز راهبردی جهان اسلام ۵۰ میلیارد راهیان نور دانشگاهی ۱۴۰ میلیارد فعالیت بسیج دانشجویی ۱۰۰ میلیارد جذب هیئت علمی جدید #لایحه_بودجه #دولت #روحانی #مجلس,"[""بسیج اساتید"",""مرکز راهبردی جهان اسلام"",""راهیان نور دانشگاهی"",""بسیج دانشجویی""]",true,annotator1
یکی از اهدافی که از این جنایات روزمره و اقدامات متوحشانه دنبال می‌شود، انحراف اذهان عمومی از مسئله اصلی جهان اسلام ، یعنی فلسطین و قدس شریف است.,"[""جنایات روزمره "","" اقدامات متوحشانه"",""انحراف اذهان عمومی"",""جهان اسلام"",""فلسطین و قدس شریف""]",true,annotator1
شعر ما خروشیده از عمق جان ماست ریشه کن شدن کفر، فریاد ماست نذر ما، تحقق ظهور منجی ماست مهیاسازی جهان اسلام ، راه ماست #USARegimeChange #م_ص pic.twitter.com/Dgbl2Vja9r,"[""ریشه کن شدن کفر"",""تحقق ظهور منجی"",""مهیاسازی جهان اسلام""]",true,annotator3
آره خدای نکرده اگه چیزیش بشه خیلی بد میشه. احتمالا موساد و سیا باهم دیگه یه کمیته ی مشترک تشکیل دادن فقط برای ترور ولایتی :)) مردم دارن تو فلاکت و بدبختی دست و پا می زنن، حضرات به فکر توسعه ی امپراطوریشون در جهان اسلام (!) هستن. هه...,"[""موساد"",""سیا"",""ولایتی"",""ترور"",""جهان اسلام"",""توسعه ی امپراطوریشون""]",false,annotator3
